,accountingchange,amended,audited,capitalexpenditures,cashandcashequivalents,cashcashequivalentsandshortterminvestments,cashfromfinancingactivities,cashfrominvestingactivities,cashfromoperatingactivities,cfdepreciationamortization,changeinaccountsreceivable,changeincurrentassets,changeincurrentliabilities,changeininventories,commonstock,company_cik,company_symbol,costofrevenue,created_at,crosscalculated,currencycode,dcn,deferredcharges,discontinuedoperations,dividendspaid,ebit,effectofexchangerateoncash,equityearnings,extraordinaryitems,goodwill,grossprofit,incomebeforetaxes,intangibleassets,interestexpense,inventoriesnet,investmentchangesnet,minorityinterest,name,netchangeincash,netincome,netincomeapplicabletocommon,original,otherassets,othercurrentassets,othercurrentliabilities,otherequity,otherliabilities,period,periodenddate,periodlength,periodlengthcode,preferredstock,preliminary,propertyplantequipmentnet,quarter,receiveddate,researchdevelopmentexpense,restated,retainedearnings,sellinggeneraladministrativeexpenses,totaladjustments,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totallongtermdebt,totalreceivablesnet,totalrevenue,totalshorttermdebt,totalstockholdersequity,treasurystock,updated_at,usdconversionrate,year
0,,False,True,-612000000.0,8348000000.0,8374000000.0,-3293000000.0,-926000000.0,3549000000.0,786000000.0,-172000000.0,-595000000.0,-193000000.0,-203000000.0,16000000.0,1551152,ABBV,4426000000.0,2015-04-24 01:00:10.329000,False,USD,0001047469-15-000995,,,-2661000000.0,3411000000.0,-577000000.0,,,5862000000.0,15534000000.0,2369000000,1513000000.0,-391000000.0,1124000000.0,308000000.0,,10-K,-1247000000.0,1774000000,1774000000,True,1507000000.0,,,,3840000000.0,ann,12/31/2014,12,m,,False,2485000000.0,4,2/20/2015,3297000000.0,False,535000000.0,7724000000.0,1775000000.0,27547000000.0,16088000000.0,11400000000.0,25805000000.0,10565000000.0,4291000000.0,19960000000,4446000000.0,1742000000.0,-972000000.0,2015-04-24 01:00:10.329000,1,2014
1,,False,True,-491000000.0,9595000000.0,9895000000.0,-3442000000.0,879000000.0,6267000000.0,897000000.0,681000000.0,1084000000.0,-426000000.0,-56000000.0,16000000.0,1551152,ABBV,4581000000.0,2015-04-24 01:00:10.329000,False,USD,0001047469-15-000995,,,-2555000000.0,5664000000.0,-10000000.0,,,6277000000.0,14209000000.0,5332000000,1890000000.0,-278000000.0,1150000000.0,1775000000.0,,10-K,3694000000.0,4128000000,4128000000,False,767000000.0,,,,3535000000.0,ann,12/31/2013,12,m,,False,2298000000.0,4,2/20/2015,2855000000.0,False,1567000000.0,5352000000.0,2139000000.0,29198000000.0,17848000000.0,6879000000.0,24706000000.0,14292000000.0,4803000000.0,18790000000,431000000.0,4492000000.0,-320000000.0,2015-04-24 01:00:10.329000,1,2013
2,,False,True,-333000000.0,5901000000.0,7976000000.0,1931000000.0,-2418000000.0,6345000000.0,1150000000.0,223000000.0,110000000.0,-731000000.0,-203000000.0,0.0,1551152,ABBV,4508000000.0,2015-04-24 01:00:10.329000,False,USD,0001047469-15-000995,,,0.0,5817000000.0,16000000.0,,,6130000000.0,13872000000.0,5725000000,2323000000.0,-84000000.0,1091000000.0,-1397000000.0,,10-K,5874000000.0,5275000000,5275000000,False,835000000.0,,,,2239000000.0,ann,12/31/2012,12,m,,False,2247000000.0,4,2/20/2015,2778000000.0,False,0.0,4989000000.0,1070000000.0,27008000000.0,15354000000.0,6776000000.0,23645000000.0,14630000000.0,4298000000.0,18380000000,1042000000.0,-350000000.0,0.0,2015-04-24 01:00:10.329000,1,2012
3,,False,True,-356000000.0,27000000.0,653000000.0,-6783000000.0,553000000.0,6247000000.0,1272000000.0,-498000000.0,-791000000.0,1497000000.0,-87000000.0,,1551152,ABBV,4639000000.0,2015-04-24 01:00:10.329000,False,USD,0001047469-14-001154,,,0.0,3620000000.0,0.0,,,6100000000.0,12805000000.0,3668000000,2910000000.0,,872000000.0,-688000000.0,,10-K,17000000.0,3433000000,3433000000,False,784000000.0,,,11957000000.0,1660000000.0,ann,12/31/2011,12,m,,False,2144000000.0,4,2/21/2014,2618000000.0,False,,5894000000.0,2814000000.0,19521000000.0,7354000000.0,5897000000.0,7589000000.0,32000000.0,3817000000.0,17444000000,16000000.0,11932000000.0,,2015-04-24 01:00:10.329000,1,2011
0,,False,True,-5311000000.0,994000000.0,8077000000.0,-315000000.0,-2911000000.0,3080000000.0,1342000000.0,-160000000.0,-205000000.0,-1026000000.0,,7000000.0,6201,AAL,15620000000.0,2015-04-24 01:00:10.325000,False,USD,0001193125-15-061145,,,-144000000.0,4249000000.0,,,0.0,4091000000.0,27030000000.0,3212000000,2240000000.0,-887000000.0,1004000000.0,1799000000.0,,10-K,-146000000.0,2882000000,2882000000,True,2244000000.0,,7059000000.0,,3728000000.0,ann,12/31/2014,12,m,,False,23084000000.0,4,2/25/2015,,False,-8562000000.0,10052000000.0,198000000.0,43771000000.0,12112000000.0,13435000000.0,41750000000.0,16196000000.0,1771000000.0,42650000000,1708000000.0,2021000000.0,,2015-04-24 01:00:10.325000,1,2014
1,,False,True,-3114000000.0,1140000000.0,10286000000.0,3799000000.0,-3814000000.0,675000000.0,1020000000.0,-93000000.0,-122000000.0,-235000000.0,,5000000.0,6201,AAL,11019000000.0,2015-04-24 01:00:10.325000,False,USD,0001193125-15-061145,,,0.0,1399000000.0,,,-2655000000.0,4086000000.0,15724000000.0,475000000,2311000000.0,-856000000.0,1012000000.0,-1181000000.0,,10-K,660000000.0,-1834000000,-1834000000,False,2299000000.0,,7385000000.0,,9087000000.0,ann,12/31/2013,12,m,,False,19259000000.0,4,2/25/2015,,False,-11296000000.0,6618000000.0,2509000000.0,42278000000.0,14323000000.0,13806000000.0,45009000000.0,15353000000.0,1560000000.0,26743000000,1446000000.0,-2731000000.0,,2015-04-24 01:00:10.325000,1,2013
2,,False,True,-1888000000.0,480000000.0,4742000000.0,483000000.0,-1571000000.0,1285000000.0,1001000000.0,-222000000.0,-355000000.0,473000000.0,,127000000.0,6201,AAL,10499000000.0,2015-04-24 01:00:10.325000,False,USD,0001193125-15-061145,,,0.0,148000000.0,,,-2208000000.0,0.0,14356000000.0,-237000000,869000000.0,-632000000.0,580000000.0,306000000.0,,10-K,197000000.0,-1876000000,-1876000000,False,2167000000.0,,4524000000.0,,1761000000.0,ann,12/31/2012,12,m,,False,13402000000.0,4,2/25/2015,,False,-9462000000.0,7275000000.0,3161000000.0,23510000000.0,7072000000.0,9011000000.0,24891000000.0,7116000000.0,1124000000.0,24855000000,1419000000.0,-7987000000.0,-367000000.0,2015-04-24 01:00:10.325000,1,2012
3,,False,True,-1610000000.0,283000000.0,4739000000.0,664000000.0,-1292000000.0,743000000.0,1086000000.0,-164000000.0,-310000000.0,756000000.0,,341000000.0,6201,AAL,10236000000.0,2015-04-24 01:00:10.325000,False,USD,0000006201-14-000004,,,,-1037000000.0,,,-118000000.0,,13743000000.0,-1861000000,,-811000000.0,617000000.0,610000000.0,,10-K,115000000.0,-1979000000,-1979000000,False,2284000000.0,499000000.0,4223000000.0,,1470000000.0,ann,12/31/2011,12,m,0.0,False,13913000000.0,4,2/28/2014,,False,-7586000000.0,7463000000.0,2722000000.0,23848000000.0,6757000000.0,8630000000.0,26116000000.0,6702000000.0,902000000.0,23979000000,1518000000.0,-7111000000.0,-367000000.0,2015-04-24 01:00:10.325000,1,2011
0,,False,True,-51500000.0,290500000.0,290500000.0,-150000000.0,-34800000.0,255900000.0,48800000.0,-8000000.0,-4600000.0,43400000.0,3400000.0,1000000.0,1579241,ALLE,1264600000.0,2015-04-24 01:00:09.068000,False,USD,0001579241-15-000005,,-11100000.0,-34500000.0,326300000.0,-8000000.0,,,506000000.0,853700000.0,267900000,125700000.0,-53800000.0,179500000.0,,23300000.0,10-K,63100000.0,175200000,175200000,True,126900000.0,26200000.0,1500000.0,,71100000.0,ann,12/31/2014,12,m,,False,211200000.0,4,2/27/2015,,False,142400000.0,527400000.0,86400000.0,2015900000.0,973800000.0,531300000.0,2020700000.0,1215000000.0,441000000.0,2118300000,49600000.0,-4800000.0,,2015-04-24 01:00:09.068000,1,2014
1,,False,True,-20200000.0,227400000.0,267600000.0,-292400000.0,-18700000.0,223900000.0,46100000.0,27900000.0,31800000.0,-16700000.0,3900000.0,1000000.0,1579241,ALLE,1208100000.0,2015-04-24 01:00:09.068000,False,USD,0001579241-15-000005,,-3600000.0,-5200000.0,240800000.0,-2900000.0,,,504900000.0,861500000.0,223400000,146100000.0,-10200000.0,187500000.0,,31100000.0,10-K,-90100000.0,32300000,32300000,False,124100000.0,34800000.0,100000.0,,75800000.0,ann,12/31/2013,12,m,,False,200200000.0,4,2/27/2015,,False,1100000.0,483100000.0,184500000.0,2000600000.0,946800000.0,490500000.0,2066700000.0,1272000000.0,418800000.0,2069600000,71900000.0,-66100000.0,,2015-04-24 01:00:09.068000,1,2013
